Date,Ticker,Weight
2018-01-01,PEP,0.05
2018-01-01,COST,0.03
2018-01-01,MCD,0.02
2018-01-01,SBUX,0.02
2018-01-01,HD,0.03
2018-01-01,AMZN,0.05
2018-01-01,CVX,0.02
2018-01-01,SLB,0.01
2018-01-01,XOM,0.02
2018-01-01,JPM,0.05
2018-01-01,BLK,0.03
2018-01-01,ABT,0.02
2018-01-01,ABBV,0.02
2018-01-01,DXCM,0.015
2018-01-01,DHR,0.01
2018-01-01,SYK,0.015
2018-01-01,ISRG,0.04
2018-01-01,MRK,0.02
2018-01-01,JNJ,0.02
2018-01-01,DE,0.04
2018-01-01,HON,0.02
2018-01-01,RTX,0.03
2018-01-01,AAPL,0.07
2018-01-01,ADSK,0.02
2018-01-01,MSFT,0.07
2018-01-01,NVDA,0.08
2018-01-01,INTC,0.02
2018-01-01,PANW,0.03
2018-01-01,ANET,0.015
2018-01-01,SNPS,0.015
2018-01-01,GOOG,0.074
2018-01-01,AWK,0.013
2018-01-01,NEE,0.013
2024-05-07,PEP,0.02
2024-05-07,COST,0.04
2024-05-07,MCD,0.02
2024-05-07,HD,0.02
2024-05-07,AMZN,0.05
2024-05-07,CVX,0.03
2024-05-07,XOM,0.03
2024-05-07,JPM,0.05
2024-05-07,BLK,0.03
2024-05-07,ABT,0.02
2024-05-07,DXCM,0.02
2024-05-07,SYK,0.03
2024-05-07,ISRG,0.04
2024-05-07,MRK,0.02
2024-05-07,JNJ,0.03
2024-05-07,DE,0.04
2024-05-07,HON,0.02
2024-05-07,RTX,0.04
2024-05-07,AAPL,0.07
2024-05-07,ADSK,0.03
2024-05-07,MSFT,0.07
2024-05-07,NVDA,0.08
2024-05-07,PANW,0.03
2024-05-07,ANET,0.03
2024-05-07,SNPS,0.03
2024-05-07,GOOG,0.08
2024-05-07,NEE,0.03
2024-08-06,PEP,0.02
2024-08-06,COST,0.04
2024-08-06,MCD,0.02
2024-08-06,HD,0.02
2024-08-06,AMZN,0.05
2024-08-06,CVX,0.03
2024-08-06,XOM,0.03
2024-08-06,JPM,0.05
2024-08-06,BLK,0.03
2024-08-06,ABT,0.02
2024-08-06,DXCM,0.02
2024-08-06,SYK,0.03
2024-08-06,ISRG,0.04
2024-08-06,MRK,0.02
2024-08-06,JNJ,0.03
2024-08-06,DE,0.04
2024-08-06,HON,0.02
2024-08-06,RTX,0.04
2024-08-06,AAPL,0.05
2024-08-06,ADSK,0.03
2024-08-06,MSFT,0.07
2024-08-06,NVDA,0.08
2024-08-06,PANW,0.03
2024-08-06,ANET,0.03
2024-08-06,SNPS,0.03
2024-08-06,GOOG,0.08
2024-08-06,NEE,0.03
2024-08-06,PLTR,0.02
2024-09-11,PEP,0.02
2024-09-11,COST,0.04
2024-09-11,MCD,0.02
2024-09-11,HD,0.02
2024-09-11,AMZN,0.05
2024-09-11,CVX,0.03
2024-09-11,XOM,0.03
2024-09-11,JPM,0.05
2024-09-11,BLK,0.03
2024-09-11,ABT,0.02
2024-09-11,DXCM,0.02
2024-09-11,SYK,0.03
2024-09-11,ISRG,0.04
2024-09-11,MRK,0.02
2024-09-11,JNJ,0.03
2024-09-11,DE,0.04
2024-09-11,HON,0.02
2024-09-11,RTX,0.04
2024-09-11,AAPL,0.06
2024-09-11,ADSK,0.03
2024-09-11,MSFT,0.07
2024-09-11,NVDA,0.07
2024-09-11,PANW,0.03
2024-09-11,ANET,0.03
2024-09-11,SNPS,0.03
2024-09-11,GOOG,0.07
2024-09-11,NEE,0.03
2024-09-11,PLTR,0.03
2024-11-26,PEP,0.02
2024-11-26,COST,0.04
2024-11-26,MCD,0.02
2024-11-26,HD,0.02
2024-11-26,AMZN,0.05
2024-11-26,CVX,0.03
2024-11-26,XOM,0.03
2024-11-26,JPM,0.04
2024-11-26,BLK,0.03
2024-11-26,MSTR,0.01
2024-11-26,ABT,0.02
2024-11-26,DXCM,0.02
2024-11-26,SYK,0.03
2024-11-26,ISRG,0.04
2024-11-26,MRK,0.02
2024-11-26,JNJ,0.03
2024-11-26,DE,0.04
2024-11-26,HON,0.02
2024-11-26,RTX,0.04
2024-11-26,AAPL,0.06
2024-11-26,ADSK,0.03
2024-11-26,MSFT,0.07
2024-11-26,NVDA,0.07
2024-11-26,PANW,0.03
2024-11-26,ANET,0.03
2024-11-26,SNPS,0.03
2024-11-26,GOOG,0.07
2024-11-26,NEE,0.03
2024-11-26,PLTR,0.03
2025-01-28,PEP,0.02
2025-01-28,COST,0.04
2025-01-28,MCD,0.02
2025-01-28,HD,0.02
2025-01-28,AMZN,0.05
2025-01-28,CVX,0.03
2025-01-28,XOM,0.03
2025-01-28,JPM,0.04
2025-01-28,BLK,0.03
2025-01-28,KNSL,0.02
2025-01-28,MSTR,0.01
2025-01-28,ABT,0.02
2025-01-28,DXCM,0.02
2025-01-28,SYK,0.03
2025-01-28,ISRG,0.04
2025-01-28,JNJ,0.03
2025-01-28,DE,0.03
2025-01-28,HON,0.03
2025-01-28,RTX,0.04
2025-01-28,AAPL,0.06
2025-01-28,ADSK,0.03
2025-01-28,MSFT,0.07
2025-01-28,NVDA,0.07
2025-01-28,PANW,0.03
2025-01-28,ANET,0.03
2025-01-28,SNPS,0.03
2025-01-28,GOOG,0.07
2025-01-28,NEE,0.03
2025-01-28,PLTR,0.03
2025-07-31,PEP,0.02
2025-07-31,COST,0.04
2025-07-31,MCD,0.02
2025-07-31,HD,0.02
2025-07-31,AMZN,0.05
2025-07-31,CVX,0.03
2025-07-31,XOM,0.03
2025-07-31,JPM,0.04
2025-07-31,BLK,0.03
2025-07-31,KNSL,0.02
2025-07-31,HOOD,0.02
2025-07-31,ABT,0.03
2025-07-31,SYK,0.03
2025-07-31,ISRG,0.04
2025-07-31,JNJ,0.03
2025-07-31,DE,0.03
2025-07-31,HON,0.03
2025-07-31,RTX,0.04
2025-07-31,AAPL,0.06
2025-07-31,ADSK,0.03
2025-07-31,MSFT,0.07
2025-07-31,NVDA,0.07
2025-07-31,PANW,0.03
2025-07-31,ANET,0.03
2025-07-31,SNPS,0.03
2025-07-31,GOOG,0.07
2025-07-31,NEE,0.03
2025-07-31,PLTR,0.03
2025-09-18,PEP,0.02
2025-09-18,COST,0.04
2025-09-18,MCD,0.02
2025-09-18,HD,0.02
2025-09-18,AMZN,0.05
2025-09-18,XOM,0.04
2025-09-18,JPM,0.04
2025-09-18,BLK,0.03
2025-09-18,CRCL,0.02
2025-09-18,HOOD,0.02
2025-09-18,ABT,0.03
2025-09-18,SYK,0.03
2025-09-18,ISRG,0.04
2025-09-18,JNJ,0.03
2025-09-18,DE,0.03
2025-09-18,HON,0.03
2025-09-18,RTX,0.04
2025-09-18,XYL,0.02
2025-09-18,AAPL,0.06
2025-09-18,MSFT,0.07
2025-09-18,NVDA,0.07
2025-09-18,PANW,0.04
2025-09-18,ANET,0.04
2025-09-18,SNPS,0.03
2025-09-18,GOOG,0.07
2025-09-18,NEE,0.03
2025-09-18,PLTR,0.04
2026-01-31,PEP,0.02
2026-01-31,COST,0.04
2026-01-31,MCD,0.02
2026-01-31,HD,0.02
2026-01-31,AMZN,0.05
2026-01-31,XOM,0.04
2026-01-31,JPM,0.04
2026-01-31,BLK,0.03
2026-01-31,CRCL,0.02
2026-01-31,HOOD,0.02
2026-01-31,ABT,0.03
2026-01-31,LLY,0.03
2026-01-31,ISRG,0.04
2026-01-31,JNJ,0.03
2026-01-31,DE,0.03
2026-01-31,HON,0.03
2026-01-31,RTX,0.04
2026-01-31,XYL,0.02
2026-01-31,AAPL,0.06
2026-01-31,MSFT,0.05
2026-01-31,NVDA,0.07
2026-01-31,PANW,0.04
2026-01-31,ANET,0.04
2026-01-31,SNPS,0.03
2026-01-31,GOOG,0.07
2026-01-31,NEE,0.03
2026-01-31,PLTR,0.04
2026-01-31,GEV,0.02
